x, y
-7.210000,-1.331999
-7.200000,-1.304621
-7.190000,-1.277948
-7.180000,-1.251948
-7.170000,-1.226591
-7.160000,-1.201848
-7.150000,-1.177693
-7.140000,-1.154101
-7.130000,-1.131046
-7.120000,-1.108508
-7.110000,-1.086464
-7.100000,-1.064893
-7.090000,-1.043777
-7.080000,-1.023098
-7.070000,-1.002837
-7.060000,-0.982979
-7.050000,-0.963507
-7.040000,-0.944407
-7.030000,-0.925664
-7.020000,-0.907266
-7.010000,-0.889198
-7.000000,-0.871448
-6.990000,-0.854005
-6.980000,-0.836858
-6.970000,-0.819995
-6.960000,-0.803407
-6.950000,-0.787083
-6.940000,-0.771014
-6.930000,-0.755190
-6.920000,-0.739605
-6.910000,-0.724247
-6.900000,-0.709111
-6.890000,-0.694188
-6.880000,-0.679471
-6.870000,-0.664952
-6.860000,-0.650625
-6.850000,-0.636484
-6.840000,-0.622521
-6.830000,-0.608731
-6.820000,-0.595108
-6.810000,-0.581646
-6.800000,-0.568340
-6.790000,-0.555184
-6.780000,-0.542174
-6.770000,-0.529304
-6.760000,-0.516569
-6.750000,-0.503965
-6.740000,-0.491488
-6.730000,-0.479133
-6.720000,-0.466895
-6.710000,-0.454771
-6.700000,-0.442757
-6.690000,-0.430849
-6.680000,-0.419044
-6.670000,-0.407336
-6.660000,-0.395724
-6.650000,-0.384203
-6.640000,-0.372771
-6.630000,-0.361423
-6.620000,-0.350157
-6.610000,-0.338970
-6.600000,-0.327858
-6.590000,-0.316819
-6.580000,-0.305850
-6.570000,-0.294947
-6.560000,-0.284109
-6.550000,-0.273332
-6.540000,-0.262614
-6.530000,-0.251952
-6.520000,-0.241343
-6.510000,-0.230786
-6.500000,-0.220277
-6.490000,-0.209815
-6.480000,-0.199396
-6.470000,-0.189019
-6.460000,-0.178681
-6.450000,-0.168379
-6.440000,-0.158113
-6.430000,-0.147879
-6.420000,-0.137675
-6.410000,-0.127499
-6.400000,-0.117349
-6.390000,-0.107223
-6.380000,-0.097118
-6.370000,-0.087034
-6.360000,-0.076966
-6.350000,-0.066914
-6.340000,-0.056876
-6.330000,-0.046849
-6.320000,-0.036831
-6.310000,-0.026821
-6.300000,-0.016816
-6.290000,-0.006815
-6.280000,0.003185
-6.270000,0.013186
-6.260000,0.023190
-6.250000,0.033198
-6.240000,0.043212
-6.230000,0.053236
-6.220000,0.063270
-6.210000,0.073316
-6.200000,0.083378
-6.190000,0.093456
-6.180000,0.103553
-6.170000,0.113671
-6.160000,0.123812
-6.150000,0.133978
-6.140000,0.144172
-6.130000,0.154395
-6.120000,0.164649
-6.110000,0.174938
-6.100000,0.185262
-6.090000,0.195625
-6.080000,0.206028
-6.070000,0.216475
-6.060000,0.226966
-6.050000,0.237506
-6.040000,0.248095
-6.030000,0.258738
-6.020000,0.269435
