x, y
0.010000,-2.861353
0.020000,-2.430677
0.030000,-2.178747
0.040000,-2.000000
0.050000,-1.861353
0.060000,-1.748070
0.070000,-1.652291
0.080000,-1.569323
0.090000,-1.496141
0.100000,-1.430677
0.110000,-1.371457
0.120000,-1.317394
0.130000,-1.267661
0.140000,-1.221615
0.150000,-1.178747
0.160000,-1.138647
0.170000,-1.100979
0.180000,-1.065464
0.190000,-1.031870
0.200000,-1.000000
0.210000,-0.969685
0.220000,-0.940781
0.230000,-0.913161
0.240000,-0.886717
0.250000,-0.861353
0.260000,-0.836984
0.270000,-0.813535
0.280000,-0.790938
0.290000,-0.769135
0.300000,-0.748070
0.310000,-0.727697
0.320000,-0.707970
0.330000,-0.688851
0.340000,-0.670302
0.350000,-0.652291
0.360000,-0.634788
0.370000,-0.617764
0.380000,-0.601194
0.390000,-0.585054
0.400000,-0.569323
0.410000,-0.553981
0.420000,-0.539008
0.430000,-0.524388
0.440000,-0.510104
0.450000,-0.496141
0.460000,-0.482485
0.470000,-0.469122
0.480000,-0.456041
0.490000,-0.443229
0.500000,-0.430677
0.510000,-0.418373
0.520000,-0.406307
0.530000,-0.394472
0.540000,-0.382858
0.550000,-0.371457
0.560000,-0.360262
0.570000,-0.349264
0.580000,-0.338458
0.590000,-0.327837
0.600000,-0.317394
0.610000,-0.307124
0.620000,-0.297020
0.630000,-0.287079
0.640000,-0.277294
0.650000,-0.267661
0.660000,-0.258174
0.670000,-0.248831
0.680000,-0.239626
0.690000,-0.230555
0.700000,-0.221615
0.710000,-0.212801
0.720000,-0.204111
0.730000,-0.195541
0.740000,-0.187087
0.750000,-0.178747
0.760000,-0.170517
0.770000,-0.162395
0.780000,-0.154378
0.790000,-0.146463
0.800000,-0.138647
0.810000,-0.130928
0.820000,-0.123305
0.830000,-0.115773
0.840000,-0.108332
0.850000,-0.100979
0.860000,-0.093712
0.870000,-0.086528
0.880000,-0.079427
0.890000,-0.072407
0.900000,-0.065464
0.910000,-0.058599
0.920000,-0.051808
0.930000,-0.045091
0.940000,-0.038445
0.950000,-0.031870
0.960000,-0.025364
0.970000,-0.018925
0.980000,-0.012553
0.990000,-0.006245
1.000000,0.000000
1.010000,0.006183
1.020000,0.012304
1.030000,0.018366
1.040000,0.024369
1.050000,0.030315
1.060000,0.036205
1.070000,0.042039
1.080000,0.047819
1.090000,0.053545
1.100000,0.059220
1.110000,0.064843
1.120000,0.070415
1.130000,0.075938
1.140000,0.081412
1.150000,0.086839
1.160000,0.092219
1.170000,0.097552
1.180000,0.102840
1.190000,0.108083
1.200000,0.113283
1.210000,0.118439
1.220000,0.123553
1.230000,0.128625
1.240000,0.133656
1.250000,0.138647
1.260000,0.143598
1.270000,0.148510
1.280000,0.153383
1.290000,0.158218
1.300000,0.163016
1.310000,0.167777
1.320000,0.172502
1.330000,0.177192
1.340000,0.181846
1.350000,0.186466
1.360000,0.191051
1.370000,0.195603
1.380000,0.200122
1.390000,0.204608
1.400000,0.209062
1.410000,0.213484
1.420000,0.217875
1.430000,0.222236
1.440000,0.226566
1.450000,0.230865
1.460000,0.235136
1.470000,0.239377
1.480000,0.243589
1.490000,0.247774
1.500000,0.251930
1.510000,0.256058
1.520000,0.260159
1.530000,0.264234
1.540000,0.268282
1.550000,0.272303
1.560000,0.276299
1.570000,0.280269
1.580000,0.284214
1.590000,0.288134
1.600000,0.292030
1.610000,0.295901
1.620000,0.299748
1.630000,0.303572
1.640000,0.307372
1.650000,0.311149
1.660000,0.314904
1.670000,0.318635
1.680000,0.322345
1.690000,0.326032
1.700000,0.329698
1.710000,0.333342
1.720000,0.336965
1.730000,0.340567
1.740000,0.344148
1.750000,0.347709
1.760000,0.351249
1.770000,0.354770
1.780000,0.358270
1.790000,0.361751
1.800000,0.365212
1.810000,0.368655
1.820000,0.372078
1.830000,0.375483
1.840000,0.378869
1.850000,0.382236
1.860000,0.385586
1.870000,0.388917
1.880000,0.392231
1.890000,0.395527
1.900000,0.398806
1.910000,0.402068
1.920000,0.405312
1.930000,0.408540
1.940000,0.411751
1.950000,0.414946
1.960000,0.418124
1.970000,0.421286
1.980000,0.424432
1.990000,0.427562
2.000000,0.430677
2.010000,0.433776
2.020000,0.436859
2.030000,0.439927
2.040000,0.442981
2.050000,0.446019
2.060000,0.449043
2.070000,0.452051
2.080000,0.455046
2.090000,0.458026
2.100000,0.460992
2.110000,0.463943
2.120000,0.466881
2.130000,0.469805
2.140000,0.472715
2.150000,0.475612
2.160000,0.478495
2.170000,0.481365
2.180000,0.484222
2.190000,0.487065
2.200000,0.489896
2.210000,0.492714
2.220000,0.495519
2.230000,0.498312
2.240000,0.501092
2.250000,0.503859
2.260000,0.506615
2.270000,0.509358
2.280000,0.512089
2.290000,0.514808
2.300000,0.517516
2.310000,0.520211
2.320000,0.522895
2.330000,0.525568
2.340000,0.528229
2.350000,0.530878
2.360000,0.533517
2.370000,0.536144
2.380000,0.538760
2.390000,0.541365
2.400000,0.543959
2.410000,0.546543
2.420000,0.549116
2.430000,0.551678
2.440000,0.554230
2.450000,0.556771
2.460000,0.559302
2.470000,0.561822
2.480000,0.564333
2.490000,0.566833
2.500000,0.569323
2.510000,0.571804
2.520000,0.574274
2.530000,0.576735
2.540000,0.579186
2.550000,0.581628
2.560000,0.584059
2.570000,0.586482
2.580000,0.588895
2.590000,0.591298
2.600000,0.593693
2.610000,0.596078
2.620000,0.598454
2.630000,0.600821
2.640000,0.603179
2.650000,0.605528
2.660000,0.607868
2.670000,0.610200
2.680000,0.612522
2.690000,0.614837
2.700000,0.617142
2.710000,0.619439
2.720000,0.621728
2.730000,0.624008
2.740000,0.626280
2.750000,0.628543
2.760000,0.630798
2.770000,0.633045
2.780000,0.635285
2.790000,0.637516
2.800000,0.639739
2.810000,0.641954
2.820000,0.644161
2.830000,0.646360
2.840000,0.648552
2.850000,0.650736
2.860000,0.652912
2.870000,0.655081
2.880000,0.657242
2.890000,0.659396
2.900000,0.661542
2.910000,0.663681
2.920000,0.665812
2.930000,0.667937
2.940000,0.670054
2.950000,0.672163
2.960000,0.674266
2.970000,0.676362
2.980000,0.678450
2.990000,0.680532
3.000000,0.682606
3.010000,0.684674
3.020000,0.686735
3.030000,0.688789
3.040000,0.690836
3.050000,0.692876
3.060000,0.694910
3.070000,0.696938
3.080000,0.698958
3.090000,0.700972
3.100000,0.702980
3.110000,0.704981
3.120000,0.706975
3.130000,0.708964
3.140000,0.710946
3.150000,0.712921
3.160000,0.714891
3.170000,0.716854
3.180000,0.718811
3.190000,0.720762
3.200000,0.722706
3.210000,0.724645
3.220000,0.726578
3.230000,0.728504
3.240000,0.730425
3.250000,0.732340
3.260000,0.734248
3.270000,0.736151
3.280000,0.738049
3.290000,0.739940
3.300000,0.741826
3.310000,0.743706
3.320000,0.745580
3.330000,0.747449
3.340000,0.749312
3.350000,0.751169
3.360000,0.753021
3.370000,0.754868
3.380000,0.756709
3.390000,0.758544
3.400000,0.760374
3.410000,0.762199
3.420000,0.764019
3.430000,0.765833
3.440000,0.767642
3.450000,0.769445
3.460000,0.771244
3.470000,0.773037
3.480000,0.774825
3.490000,0.776608
3.500000,0.778385
3.510000,0.780158
3.520000,0.781926
3.530000,0.783688
3.540000,0.785446
3.550000,0.787199
3.560000,0.788947
3.570000,0.790690
3.580000,0.792428
3.590000,0.794161
3.600000,0.795889
3.610000,0.797613
3.620000,0.799331
3.630000,0.801045
3.640000,0.802755
3.650000,0.804459
3.660000,0.806159
3.670000,0.807855
3.680000,0.809545
3.690000,0.811231
3.700000,0.812913
3.710000,0.814590
3.720000,0.816262
3.730000,0.817930
3.740000,0.819594
3.750000,0.821253
3.760000,0.822908
3.770000,0.824558
3.780000,0.826204
3.790000,0.827846
3.800000,0.829483
3.810000,0.831116
3.820000,0.832744
3.830000,0.834369
3.840000,0.835989
3.850000,0.837605
3.860000,0.839217
3.870000,0.840824
3.880000,0.842428
3.890000,0.844027
3.900000,0.845622
3.910000,0.847213
3.920000,0.848801
3.930000,0.850384
3.940000,0.851963
3.950000,0.853538
3.960000,0.855109
3.970000,0.856676
3.980000,0.858239
3.990000,0.859798
4.000000,0.861353
4.010000,0.862905
4.020000,0.864452
4.030000,0.865996
4.040000,0.867536
4.050000,0.869072
4.060000,0.870604
4.070000,0.872132
4.080000,0.873657
4.090000,0.875178
4.100000,0.876696
4.110000,0.878209
4.120000,0.879719
4.130000,0.881225
4.140000,0.882728
4.150000,0.884227
4.160000,0.885722
4.170000,0.887214
4.180000,0.888702
4.190000,0.890187
4.200000,0.891668
4.210000,0.893146
4.220000,0.894620
4.230000,0.896091
4.240000,0.897558
4.250000,0.899021
4.260000,0.900482
4.270000,0.901938
4.280000,0.903392
4.290000,0.904842
4.300000,0.906289
4.310000,0.907732
4.320000,0.909172
4.330000,0.910608
4.340000,0.912042
4.350000,0.913472
4.360000,0.914898
4.370000,0.916322
4.380000,0.917742
4.390000,0.919159
4.400000,0.920573
4.410000,0.921983
4.420000,0.923391
4.430000,0.924795
4.440000,0.926196
4.450000,0.927594
4.460000,0.928988
4.470000,0.930380
4.480000,0.931768
4.490000,0.933154
4.500000,0.934536
4.510000,0.935915
4.520000,0.937291
4.530000,0.938664
4.540000,0.940034
4.550000,0.941402
4.560000,0.942766
4.570000,0.944127
4.580000,0.945485
4.590000,0.946840
4.600000,0.948192
4.610000,0.949541
4.620000,0.950888
4.630000,0.952231
4.640000,0.953572
4.650000,0.954909
4.660000,0.956244
4.670000,0.957576
4.680000,0.958905
4.690000,0.960231
4.700000,0.961555
4.710000,0.962875
4.720000,0.964193
4.730000,0.965508
4.740000,0.966820
4.750000,0.968130
4.760000,0.969436
4.770000,0.970740
4.780000,0.972042
4.790000,0.973340
4.800000,0.974636
4.810000,0.975929
4.820000,0.977219
4.830000,0.978507
4.840000,0.979792
4.850000,0.981075
4.860000,0.982354
4.870000,0.983632
4.880000,0.984906
4.890000,0.986178
4.900000,0.987447
4.910000,0.988714
4.920000,0.989978
4.930000,0.991240
4.940000,0.992499
4.950000,0.993755
4.960000,0.995009
4.970000,0.996261
4.980000,0.997510
4.990000,0.998756
5.000000,1.000000
5.010000,1.001241
5.020000,1.002480
